Object ID,Name,Centroid X µm,Centroid Y µm,Cell: CD15 (Opal 620) mean,Cell: H3Cit (Opal 690) mean,Cell: DAPI (DAPI) mean,Cell: CK (Alexa 488) mean,Cell: CD8 (Cy3) mean,Cell: MPO (Cy5) mean
eb0049d0-2fe4-4127-99e2-044fda8b5cbe,PathCellObject,768.45,159.54,0.0226,0.0097,0.3344,0.0268,0.1554,0.0273
c3ac85d1-4e01-46a0-aaad-8c2a31bc2a9e,PathCellObject,899.23,158.68,0.0208,0.0062,0.377,0,0.1178,0.0126
1c282c33-382b-4735-96f3-9d4455aea294,PathCellObject,723.2,161.69,0.031,0.0127,0.2124,0.0149,0.1698,0.0351
7fd95c3c-2ecb-4655-b6d3-5ea1a5725c08,PathCellObject,784.99,159,0.0493,0.0104,0.2565,0.0083,0.1037,0.0352
43436746-a54f-4f75-84bf-1572780b779c,PathCellObject,835.95,158.62,0.0632,0.0207,0.3527,0.0121,0.1223,0.0733
21652634-8354-4d86-bf7c-a399f742c8dd,PathCellObject,951.15,159.84,0.115,0.3227,0.4585,0.0006,0.2111,0.5117
151fbe79-d3a3-4652-93a5-95360083f53b,PathCellObject,801.57,160.93,0.1485,0.0635,0.3291,0.0052,0.1177,0.1918
5cf3561c-ecda-404d-8b98-6b5d88316f04,PathCellObject,963.92,160.89,0.175,0.1881,0.2704,0.0054,0.2293,0.4056
c0624f24-d999-4ffa-88e1-ef90c98c58c6,PathCellObject,712.07,161.05,0.1871,0.1739,0.4309,0.0028,0.2411,0.4294
3d21c026-3c18-4650-8329-b1ef5df890ec,PathCellObject,978.71,161.81,0.061,0.0225,0.5447,0.0024,0.1127,0.0799
9d36eaa1-242a-4301-be4d-5789f1ba7e4b,PathCellObject,841.14,163.18,0.1926,0.129,0.4648,0,0.2554,0.3802
ebc654de-8e0d-4493-babb-26deb0e95ee6,PathCellObject,913,162.52,0.0688,0.0158,0.6454,0,0.1514,0.051
e099bbf3-95ad-4331-9edf-b86959e2874d,PathCellObject,761.05,164.46,0.0204,0.0098,0.3817,0.0187,0.1461,0.0267
3dfb616e-7061-45fb-9aff-1ee5c7183f9a,PathCellObject,996.04,163.08,0.0617,0.0175,0.28,0.0068,0.2938,0.0532
8984db3e-895c-4a4d-aa91-856799ff5686,PathCellObject,776.65,163.69,0.1435,0.0668,0.5148,0.0037,0.1679,0.1959
6355d4e0-88b3-4839-93e4-e0d18fbce256,PathCellObject,808.16,162.63,0.223,0.0926,0.6489,0,0.1596,0.2796
044debfb-d999-40c9-9609-6be3aaedc6de,PathCellObject,933.11,163.06,0.0636,0.0581,0.3678,0.0069,0.1862,0.1675
0edb0850-ea1a-44da-8fca-e3cd65804521,PathCellObject,819.94,166.01,0.1851,0.0521,0.3164,0,0.1543,0.2039
368208e4-3438-49bb-b9d9-63950d900518,PathCellObject,905.43,167.7,0.0507,0.0119,0.4317,0,0.1378,0.0471
a87e0c20-dc3a-41a0-9c1b-1e50ae048115,PathCellObject,958.53,164.92,0.209,0.309,0.2167,0.0005,0.1389,0.4291
da0eae80-051e-470f-a8c7-cc86ba51983b,PathCellObject,748.12,168.36,0.0659,0.0645,0.3185,0.0134,0.1674,0.1679
1ebef600-56f5-4858-8acf-6265912020dd,PathCellObject,788.65,165.05,0.0616,0.0121,0.208,0.0009,0.1086,0.0422
0aedc68e-0b39-42f5-9775-4d5d3a5b5add,PathCellObject,831.5,166.95,0.1178,0.0409,0.2617,0,0.1181,0.1308
76f4ac67-2f31-4245-b6c2-2aac61163e9b,PathCellObject,942.5,166.44,0.045,0.023,0.2027,0.0121,0.1218,0.0984
91af36ae-d7ef-4c69-9d62-0f0a629559b0,PathCellObject,898.28,165.55,0.0166,0.0072,0.2366,0,0.1094,0.0173
f47a19c3-d4fa-4554-bef4-11d59588f59a,PathCellObject,871.76,166.97,0.0374,0.0133,0.3009,0.0034,0.0992,0.0545
92695ec1-c07b-4503-a249-8d719a679adc,PathCellObject,879.27,166.43,0.1772,0.0746,0.1459,0.0051,0.1913,0.2333
2e34d836-9637-42ce-a3bc-8d642c25f6ec,PathCellObject,929.32,168.53,0.1255,0.0976,0.5017,0,0.1938,0.2978
7aa204cd-e796-464e-9185-a8f60cf9a157,PathCellObject,862.88,168.54,0.0214,0.0086,0.2391,0.0122,0.099,0.027
cf6c408c-c958-4545-919b-a74861c55a5a,PathCellObject,808.18,169.19,0.1294,0.0572,0.5896,0,0.1617,0.2034
0eaf253d-b71b-4747-a6cc-a9287c37b69c,PathCellObject,730.8,170.74,0.0396,0.0255,0.3097,0.0026,0.1579,0.0597
e8c0d9df-d6b9-4e75-a044-3a478aa409ff,PathCellObject,915.79,170.08,0.0419,0.0137,0.6539,0,0.1305,0.0446
89d22030-2472-41eb-86ce-96b8dc298c2f,PathCellObject,799.98,170.55,0.063,0.0444,0.289,0.0062,0.1039,0.1448
c15d3029-1c9a-4c82-be48-874773f80990,PathCellObject,995.05,171.57,0.1734,0.1288,0.3727,0.0022,0.2277,0.4046
4d3b1009-f5f9-41e3-80b9-280702f0cca6,PathCellObject,779.21,172.29,0.0304,0.0096,0.33,0.0161,0.153,0.0262
